Genus,Species,Tax #,Clade,STD.Size.Mean.FL,STD.StDev.AXY,STD.Min.AXY,STD.Max.AXY,STD.Ave.AXY,STD.Size.SumMXY.FA,STD.StDev.AXZ,STD.Min.AXZ,STD.Max.AXZ,STD.Ave.AXZ,STD.Size.SumMXZ.FA,STD.StDev.AYZ,STD.Min.AYZ,STD.Max.AYZ,STD.Ave.AYZ,STD.Size.SumMYZ.FA,Size.POLYArea,STD.Size.POLYArea,Size.POLY.RangeY,STD.Size.POLY.RangeY,Size.POLYRangeX,STD.Size.POLYRangeX,Size.MXT.FA,STD.Size.MXT.FA,Size.MYT.FA,STD.Size.MYT.FA,Size.MZT.FA,STD.Size.MZT.FA,SKEWX,STD.SKEWX,SKEWY,STD.SKEWY
Alaranea,merina,22,Araneoid,0.008437531,-1.247663733,1.056764163,-1.048657541,-0.171182385,0.137967535,0.164245041,1.489963306,0.258536445,0.542223371,-0.023014969,-0.221922565,-1.118901274,-1.419868308,-1.475587871,-0.002425994,0.008496949,0.926977445,0.362665153,1.424888139,0.037242812,0.742436524,0.000689366,0.510721984,-0.003074398,1.257502962,0.007504242,0.886741494,0.341345506,0.191947983,0.320643595,0.424078561
Ambohima,sublima,41,SubRTA,0.46615132,-0.454158386,-0.497089708,-1.101157593,-0.789657546,-0.29468874,-0.553331334,0.3913049,-0.304338083,0.061448658,-0.374586863,-0.408857034,-0.353981963,-0.580374541,-0.4588559,-0.363343226,0.002049841,-0.789331355,0.088866639,-0.828188211,0.016724121,-0.589262942,0.000181237,-0.603848385,-0.000221205,-0.108914201,0.002022597,-0.769697323,1.229634092,1.578279972,0.620097964,1.367682707
Aotearoa,magna,15,Haplo.Palpim,-0.084116953,-0.356040433,-0.86456056,0.660045147,0.648377628,3.069121162,0.93142452,-0.880493245,0.811004819,0.408667316,2.711360014,1.763847362,0.802128489,2.950713057,3.025180191,2.643151407,0.005751094,0.195993135,0.154481404,-0.288247093,0.018769969,-0.456483778,0.000431223,-0.055509669,-0.002672471,1.065016875,0.005011166,0.133386047,-0.175204384,-0.614219797,-0.067802149,-0.799944372
Aphonopelma,seemanni,2,Mygal,-0.500050879,0.427333311,-1.101028822,1.035317333,-0.166754812,1.875379582,0.946706347,-1.555908297,1.184472099,0.326314812,1.870370127,2.246024947,-0.956994298,1.60282248,0.02620515,1.762984952,0.003618573,-0.371713368,0.177216487,-0.101161059,0.019863905,-0.385485416,0.000315025,-0.310386733,-0.000946383,0.238379563,0.003453069,-0.337438402,-0.303796345,-0.814910375,0.083816218,-0.322183034
Araneus,marmoreus,23,Araneoid,-0.834636789,0.52252591,-0.443854242,0.938186367,-0.075066461,0.194205836,0.660889135,-0.675642775,0.290378658,0.78029929,0.203427415,1.414735734,-1.47350901,0.014236161,-1.000046711,0.183284019,0.000930759,-1.087246387,0.055961209,-1.098965594,0.017908733,-0.51237954,0.000053351,-0.884365196,0.000043523,-0.235694794,0.000927204,-1.10070228,1.322875656,1.723799981,0.610583085,1.33770058
Archoleptoneta,sp.,18,Austro,1.884232651,1.926325833,0.384336263,1.062657514,1.62913393,-1.186758758,-0.865675818,-1.343151424,-1.293451956,-1.568658115,-1.127653503,-1.345254457,1.106584267,-0.342103841,0.436270088,-1.136943158,0.002582361,-0.647567138,0.127775339,-0.508010173,0.024523422,-0.083074479,0.000253808,-0.444666113,-0.000422612,-0.012458839,0.002517791,-0.620059857,0.394699926,0.275217024,0.357016173,0.538691399
Arkys,sp.,24,Araneoid,-1.133637365,0.669866283,-1.039444099,0.797791825,-0.578687848,0.654274067,0.649773637,1.651713798,1.448126241,2.299752671,0.718400007,1.948314525,-1.445489473,0.800843391,-0.696062195,0.66496881,0.006088371,0.285780894,0.265883715,0.628477791,0.026280567,0.030967321,0.000329136,-0.27943637,-0.00185423,0.673154834,0.005640249,0.323481703,0.426246701,0.324451365,0.493435994,0.968560929
Australomimetus,sp.,25,Araneoid,-0.631865388,1.236217853,-0.160361172,0.994080559,1.072238947,-0.331976911,0.085432165,0.721732027,-0.059312005,0.34333933,-0.191821049,0.73201916,0.313070213,0.703913369,0.670112389,-0.193541922,0.00340265,-0.429194951,0.172156683,-0.142797979,0.026704487,0.058480482,0.000325121,-0.288241384,-0.000339903,-0.052068855,0.003354025,-0.367367537,0.650579229,0.674562089,0.446583379,0.820924676
Calileptoneta,sp.,19,Austro,-0.42300929,-1.264106453,1.14965415,-0.978578488,0.003861428,-0.612017284,-0.066958451,-0.556069045,-0.600085557,-0.626949124,-0.685776153,-0.853371151,-0.850743097,-1.518697354,-1.260937893,-0.680720713,0.007233996,0.590762167,0.380782854,1.573977929,0.017555094,-0.535331331,0.000259558,-0.432053171,0.002551389,-1.436732145,0.006508106,0.585730129,0.107214515,-0.173454983,0.061649456,-0.392032234
Castianeira,longipalpa,49,DionychA,-0.954963384,-0.780780793,0.11538859,-0.302421947,0.091633121,-0.554150126,-0.445851911,-1.170456401,-0.707169175,-1.276209632,-0.624660397,0.938460527,-1.30443197,-0.133786213,-1.035058845,-0.636393827,0.000310217,-1.252443176,,,0.017231976,-0.556302267,0.000015448,-0.967505026,-0.000072027,-0.180356776,0.000301344,-1.28982402,,,,
