,PArea.SzCorr,FibNo.SzCorr,FibArea.SzCorr,SKEWX.SzCorr,SKEWY.SzCorr,AMUS.SzCorr,FCPY.SzCorr,FCPZ.SzCorr,FMUS.SzCorr,PCA.PArea,PCA.FibNo,PCA.FibArea,PCA.SKEWX,PCA.SKEWY,PCA.AMUS,PCA.FCPY,PCA.FCPZ,PCA.FMUS
Alaranea,0.004926769,6,0.000821128,0.968245837,0.667628428,122.4654186,-0.005226011,0.00821413,0.009735663,-0.023669693,-0.485698924,1.279781534,1.170337209,1.517454917,0.99714743,-2.06605986,0.512373466,0.699764337
Ambohima,0.003618573,22,0.000164481,-0.303796345,0.083816218,113.0508146,-0.000770161,0.00180992,0.001966967,-0.37513937,-0.178427139,-0.432450934,-0.814910375,-0.322183034,0.524504273,0.183193782,-0.589570802,-0.608396087
Aotearoa,0.015103901,68,0.000222116,0.154858552,0.237120165,84.50404559,0.000250201,0.002600359,0.002612368,2.710593936,0.704979244,-0.282163993,-0.099098007,0.1608897,-0.908634602,0.698258498,-0.453563506,-0.49971784
Aphonopelma,0.011975239,236,5.07425E-05,0.315174305,0.54753034,97.32975907,-0.002848051,0.022141266,0.022323689,1.870024545,3.93133299,-0.72902702,0.151103178,1.139016448,-0.264742869,-0.86569759,2.908754421,2.819445316
Araneus,0.005771146,17,0.000339479,-0.826079513,0.341813018,114.6228659,-0.004598724,0.010033903,0.011037548,0.203186841,-0.274449572,0.023864241,-1.630025952,0.490785071,0.603426263,-1.749413824,0.825493717,0.918987114
Archoleptoneta,0.000819489,5,0.000163898,0.608580619,-0.404796009,90.22868847,-6.53656E-06,0.001637666,0.001637679,-1.127162003,-0.504903411,-0.433970641,0.609015805,-1.86183839,-0.621239267,0.568660946,-0.619209815,-0.66384441
Arkys,0.00768674,35,0.000219621,-0.352706689,0.417645219,131.6495945,-0.001739588,0.001955932,0.002617601,0.717844601,0.071231187,-0.288669905,-0.891243647,0.729738268,1.458222358,-0.306160164,-0.56444709,-0.49883654
Australomimetus,0.00429914,11,0.000390831,-0.21276158,0.057309354,95.6851732,-0.000459927,0.004619968,0.004642805,-0.19229315,-0.389676491,0.157765777,-0.672834467,-0.405708235,-0.347306326,0.339795671,-0.106058189,-0.157815208
Calileptoneta,0.002462422,8,0.000307803,6.76707E-16,4.3986E-14,120.5638018,-0.001872224,0.003170328,0.003681875,-0.685759365,-0.447289951,-0.05873311,-0.340782261,-0.586294494,0.901680199,-0.373113199,-0.355491399,-0.319624957
Castianeira,0.00268922,30,8.96407E-05,0.922616666,0.499058206,130.0327078,-0.000691184,0.000822767,0.001074561,-0.624826121,-0.024791246,-0.627598718,1.09912479,0.98627696,1.377049488,0.223059907,-0.759425835,-0.758667055
Cheiracanthium,0.007584521,15,0.000505635,-0.45508306,0.31792069,124.960033,-0.003465345,0.00495638,0.00604767,0.690381678,-0.312858545,0.457120947,-1.051020144,0.415498476,1.12238503,-1.177299129,-0.048173259,0.078748229
Chilenodes,0.001881623,7,0.000268803,0.374165739,0.248875486,96.53113415,-0.000426812,0.003728072,0.003752425,-0.841801288,-0.466494438,-0.160425848,0.24316978,0.197931636,-0.304836387,0.356511312,-0.259522753,-0.307745123
Cycloctenidae,0.00602289,59,0.000102083,-0.118610933,0.10844178,110.0194183,-0.004029748,0.011059976,0.011771234,0.270822153,0.532138865,-0.595155234,-0.525895673,-0.244585961,0.372318509,-1.462202152,1.00204566,1.042531446
Deinopidae,0.006069322,33,0.000183919,,,94.3475874,-0.000165568,0.002177786,0.002184071,0.283297152,0.032822213,-0.381764921,,,-0.4144574,0.488384162,-0.526273662,-0.571838175
Dictyna,0.005751094,13,0.000442392,-0.175204384,-0.067802149,125.1883041,-0.003045654,0.004319361,0.005285157,0.197799562,-0.351267518,0.292212793,-0.614219797,-0.799944372,1.133844969,-0.965444645,-0.15778236,-0.049650413
Diplocephalus,0.005024204,9,0.000558245,-1.65582E-14,0.146354524,114.1162695,-0.002720582,0.006077307,0.00665847,0.002507954,-0.428085465,0.594303863,-0.340782261,-0.125119939,0.57799351,-0.801352912,0.144699714,0.181600028
Dolichognatha,0.003216189,6,0.000536031,2.449489743,0.41807152,100.4771499,-0.001161374,0.00628019,0.006386672,-0.483246886,-0.485698924,0.536381442,3.482081213,0.731081577,-0.106733808,-0.014285496,0.179608836,0.135832162
Dolomedes,0.002582361,26,9.93216E-05,0.394699926,0.357016173,107.1506924,-0.000349374,0.001132092,0.001184776,-0.653535625,-0.101609193,-0.60235538,0.275217024,0.538691399,0.228299316,0.395601296,-0.706201601,-0.740108041
Dysdera,0.007233996,105,6.88952E-05,0.107214515,0.061649456,68.59320868,0.005102778,0.013016213,0.013980706,0.596207095,1.415545247,-0.681693289,-0.173454983,-0.392032234,-1.707409375,3.147774407,1.338646593,1.41458148
