,Web Code,Foraging web
Liphistius,8,0
Aphonopelma,8,0
Sphodros,7,1
Thelechoris,3,1
Kukulcania,3,1
Dysdera,6,0
Ochyroceratidae,1,1
Opopaea,6,0
Orchestina,6,0
Orsolobidae,6,0
Orthonops,6,0
Plectreurys,9,1
Tellemidae,4,1
Periegops,6,0
Aotearoa,6,0
Eriauchenius,6,0
Palpimanus,6,0
Archoleptoneta,6,0
Calileptoneta,2,1
Gradungulidae,6,0
Hickmania,2,1
Alaranea,2,1
Araneus,0,1
Arkys,6,0
Australomimetus,6,0
Chilenodes,6,0
Diplocephalus,3,1
Dolichognatha,0,1
Latrodectus,5,1
Nesticus,5,1
Nicodamidae,3,1
Novanapis,0,1
Pararchaea,6,0
Pimoa,4,1
Plato,0,1
Theridiosoma,0,1
Stegodyphus,2,1
Deinopidae,0,1
Hersiliid,3,1
Hyptiotes,0,1
Uloborus,0,1
Ambohima,2,1
Cycloctenidae,6,0
Dictyna,4,1
Ommatauxisis,6,0
Dolomedes,6,0
Hogna,6,0
Schizocosa,6,0
Xysticus,6,0
Castianeira,6,0
Cheiracanthium,6,0
Gallieniellidae,6,0
Phrurotimpus,6,0
Platyoides,6,0
Trachelas,6,0
